epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
21,0.0280179,0.0127791,0,0,2918,808,1246,0.739701,0.783215,0.700768,0.735887,0.324403,0.02637,0.0158144,0,0,0.00775,0.00775,0.00775,0.0976371,0.103139,0.0887862,0.00189827,0.133992,0.372103,0.202969,0.3158,0.555598,0.966988
22,0.0275926,0.0125918,0,0,2923,920,1241,0.73016,0.760623,0.702043,0.711422,0.319994,0.026306,0.0169861,0,0,0.00754296,0.00754296,0.00754296,0.0861617,0.09254,0.0764361,0.00732313,0.128801,0.384035,0.20602,0.321384,0.561897,0.966277
23,0.0272708,0.0123864,0,0,2884,758,1280,0.738896,0.791865,0.69257,0.737203,0.330389,0.0260007,0.0156531,0,0,0.00733031,0.00733031,0.00733031,0.0825275,0.0827756,0.0827779,0.00011802,0.120143,0.373121,0.192739,0.28732,0.545604,0.971114
24,0.0270689,0.0122514,0,0,2837,736,1327,0.733326,0.793999,0.681267,0.712683,0.321146,0.026175,0.0172017,0,0,0.00711266,0.00711266,0.00711266,0.0886202,0.103571,0.0610615,0.00766074,0.140923,0.382159,0.208417,0.3135,0.571889,0.961433
25,0.0268191,0.0122139,0,0,2891,766,1273,0.739292,0.79054,0.694284,0.725473,0.320147,0.0261036,0.0168812,0,0,0.00689058,0.00689058,0.00689058,0.0885785,0.0940883,0.0783609,0.000966152,0.143104,0.371731,0.208616,0.291649,0.541636,0.967675
26,0.0264456,0.0122432,0,0,2973,857,1191,0.743859,0.776259,0.714055,0.733507,0.329755,0.0260975,0.0160944,0,0,0.00666469,0.00666469,0.00666469,0.0787596,0.0852827,0.068216,9.67328e-05,0.124421,0.365768,0.193595,0.27068,0.537945,0.971802
27,0.0260528,0.011796,0,0,2897,829,1267,0.734342,0.777507,0.695717,0.713016,0.318747,0.0264008,0.0172857,0,0,0.0064356,0.0064356,0.0064356,0.0856588,0.0914258,0.0742327,0.000434549,0.138306,0.389135,0.208698,0.315309,0.566525,0.964212
28,0.0259317,0.0118379,0,0,2836,733,1328,0.733512,0.794632,0.681123,0.705521,0.312606,0.0266585,0.0174517,0,0,0.00620396,0.00620396,0.00620396,0.0860565,0.0872755,0.083156,0.000104466,0.144563,0.397467,0.212459,0.31146,0.559064,0.963473
29,0.0255482,0.0117509,0,0,2886,725,1278,0.742417,0.799311,0.693084,0.714796,0.318984,0.0262553,0.0170818,0,0,0.00597038,0.00597038,0.00597038,0.0895898,0.0988303,0.0729579,2.25263e-05,0.145198,0.38731,0.2121,0.296545,0.547516,0.960083
30,0.0255436,0.0118666,0,0,2923,747,1241,0.74625,0.796492,0.701969,0.734787,0.328195,0.0259522,0.0166499,0,0,0.00573551,0.00573551,0.00573551,0.0878141,0.0985003,0.0681198,0.000116485,0.137108,0.365706,0.201074,0.277805,0.551706,0.9649
31,0.0250316,0.0114874,0,0,2902,789,1262,0.738927,0.786316,0.696926,0.706858,0.317759,0.0264899,0.0179222,0,0,0.0055,0.0055,0.0055,0.0903096,0.0984405,0.0719421,4.85101e-05,0.130531,0.363179,0.194454,0.325681,0.577297,0.952479
32,0.0247719,0.0113,0,0,2916,882,1248,0.732517,0.767855,0.700288,0.71301,0.31458,0.0265633,0.0174013,0,0,0.00526449,0.00526449,0.00526449,0.092489,0.101372,0.0789687,0.000208312,0.133472,0.387662,0.205534,0.317065,0.571053,0.955296
33,0.0247617,0.0112667,0,0,2889,817,1275,0.734226,0.779649,0.693804,0.702005,0.315492,0.0264191,0.0179389,0,0,0.00502962,0.00502962,0.00502962,0.095816,0.10291,0.0812563,0.000208312,0.140667,0.38737,0.206842,0.303494,0.557542,0.949036
34,0.0243553,0.0112334,0,0,2883,712,1281,0.743131,0.801934,0.692363,0.715745,0.319134,0.0263123,0.017424,0,0,0.00479604,0.00479604,0.00479604,0.0891863,0.0929563,0.0824852,8.56298e-05,0.140462,0.361695,0.200418,0.318296,0.558357,0.955862
35,0.0241028,0.0109715,0,0,2852,724,1312,0.736989,0.79763,0.684918,0.696294,0.314394,0.0264454,0.0183762,0,0,0.0045644,0.0045644,0.0045644,0.095628,0.104439,0.0768957,8.95724e-05,0.151444,0.383472,0.21094,0.312808,0.551917,0.951068
36,0.0239372,0.0109424,0,0,2825,765,1339,0.728662,0.786921,0.678434,0.690141,0.311001,0.0265124,0.0184307,0,0,0.00433531,0.00433531,0.00433531,0.0891338,0.0932297,0.0834296,0.000184402,0.140742,0.416705,0.214832,0.326847,0.572543,0.954545
37,0.0237336,0.0107889,0,0,2818,601,1346,0.743175,0.824197,0.676656,0.707788,0.319775,0.026303,0.017786,0,0,0.00410942,0.00410942,0.00410942,0.0977147,0.103289,0.0863149,0.000104471,0.135841,0.352921,0.193662,0.342277,0.568421,0.944253
38,0.023414,0.0108123,0,0,2823,666,1341,0.737719,0.809104,0.677909,0.702114,0.316575,0.0263082,0.0182238,0,0,0.00388734,0.00388734,0.00388734,0.0881901,0.0847459,0.0962204,8.56298e-05,0.145532,0.376728,0.206977,0.322858,0.585206,0.953889
39,0.0233614,0.0108073,0,0,2810,625,1354,0.739608,0.818061,0.674885,0.702172,0.314326,0.0263967,0.0180884,0,0,0.00366969,0.00366969,0.00366969,0.0901744,0.0984671,0.0749513,9.67328e-05,0.14339,0.372453,0.20271,0.285599,0.54849,0.949036
40,0.0232612,0.0106028,0,0,2928,802,1236,0.741835,0.784989,0.703179,0.703568,0.317869,0.0263932,0.0183529,0,0,0.00345704,0.00345704,0.00345704,0.0906381,0.0924101,0.0850445,0.000199154,0.127136,0.371099,0.190721,0.328747,0.563586,0.952479
