epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
21,0.0277381,0.0126901,0,0,2879,746,1285,0.73923,0.794201,0.691376,0.722912,0.320513,0.0259496,0.0168651,0,0,0.00775,0.00775,0.00775,0.0881471,0.0877967,0.0867205,0.000791905,0.128388,0.395365,0.20612,0.330266,0.563302,0.962173
22,0.0275685,0.0125206,0,0,2850,709,1314,0.738094,0.800878,0.684438,0.704153,0.314367,0.0259161,0.0175766,0,0,0.00754296,0.00754296,0.00754296,0.100701,0.102432,0.104957,4.85101e-05,0.143689,0.397554,0.216899,0.35294,0.605453,0.951068
23,0.0269554,0.0122871,0,0,2945,732,1219,0.75122,0.800938,0.707314,0.726717,0.321092,0.0259075,0.0164604,0,0,0.00733031,0.00733031,0.00733031,0.0834769,0.0873543,0.0794846,0.000119412,0.117756,0.352869,0.186214,0.313774,0.57158,0.964852
24,0.0269196,0.0121924,0,0,2934,780,1230,0.74482,0.78997,0.704552,0.729557,0.321318,0.0258995,0.016368,0,0,0.00711266,0.00711266,0.00711266,0.0884228,0.092352,0.0826835,4.93515e-05,0.129222,0.365263,0.19867,0.333363,0.57937,0.965565
25,0.0266547,0.0121174,0,0,2819,649,1345,0.738721,0.812857,0.676978,0.709766,0.316911,0.0261084,0.0176138,0,0,0.00689058,0.00689058,0.00689058,0.0945453,0.0924766,0.0984244,0.00023228,0.139326,0.395517,0.214419,0.348783,0.572735,0.952479
26,0.0263373,0.0121364,0,0,2945,750,1219,0.749445,0.797018,0.707231,0.735914,0.326318,0.0259969,0.0162663,0,0,0.00666469,0.00666469,0.00666469,0.0883688,0.0933802,0.0785807,9.84106e-05,0.127108,0.359169,0.193539,0.316544,0.581554,0.965612
27,0.0259747,0.0117824,0,0,2989,843,1175,0.747651,0.780069,0.717819,0.737265,0.327743,0.0259161,0.016553,0,0,0.0064356,0.0064356,0.0064356,0.0832957,0.0851169,0.0796027,0.000110573,0.122323,0.361973,0.190908,0.307727,0.571386,0.969051
28,0.0258345,0.0117851,0,0,2869,713,1295,0.740751,0.800905,0.689001,0.71302,0.312221,0.0263528,0.0173429,0,0,0.00620396,0.00620396,0.00620396,0.0774945,0.0763231,0.0809326,5.32966e-05,0.119433,0.379259,0.193823,0.304869,0.559707,0.969676
29,0.0253671,0.011666,0,0,2941,787,1223,0.745321,0.788898,0.706306,0.721168,0.321218,0.0258612,0.0170214,0,0,0.00597038,0.00597038,0.00597038,0.0802756,0.0796554,0.0858433,0.000710231,0.123889,0.379482,0.194512,0.322876,0.563909,0.961433
30,0.0253227,0.0117686,0,0,2908,767,1256,0.741893,0.791205,0.698367,0.712319,0.31409,0.0260384,0.0173236,0,0,0.00573551,0.00573551,0.00573551,0.0902006,0.0931676,0.0861025,0.00102811,0.131332,0.380154,0.201491,0.322062,0.577615,0.958649
